County	County / Sector (NAICS)	Natural gas	Net electricity	Diesel	Other	LPG NGL	Residual fuel oil	Coal	Coke and breeze
Genesee	1111. Oilseed and Grain Farming	0	10,516	27,991	9,882	12,657	7,800	0	0
Genesee	1112. Vegetable and Melon Farming	0	5,780	7,421	2,620	3,356	2,068	0	0
Genesee	1113. Fruit and Tree Nut Farming	0	1,528	1,593	562	720	444	0	0
Genesee	1114. Greenhouse, Nursery, and Floriculture Production	0	5,076	7,910	2,793	3,577	2,204	0	0
Genesee	1119. Other Crop Farming	0	5,998	8,923	3,150	4,035	2,486	0	0
Genesee	1121. Cattle Ranching and Farming	0	27,353	36,698	12,956	16,595	10,226	0	0
Genesee	1122. Hog and Pig Farming	0	365	418	148	189	117	0	0
Genesee	1123. Poultry and Egg Production	0	1,715	1,165	411	527	325	0	0
Genesee	1124. Sheep and Goat Farming	0	203	193	68	87	54	0	0
Genesee	1129. Other Animal Production	0	4,137	3,358	1,185	1,518	936	0	0
Genesee	2111. Oil and Gas Extraction	138,770	17,990	3,986	7,726	0	677	4,927	0
Genesee	2123. Nonmetallic Mineral Mining and Quarrying	11,381	24,985	25,088	13,487	0	7,840	30,220	0
Genesee	2369. Building Construction (unclassified)	4,493	9,574	16,599	0	614	0	0	0
Genesee	2378. Heavy and Civil Engineering Construction (unclassified)	1,128	2,846	19,026	0	2,965	0	0	0
Genesee	2388. Specialty Trade Contractors (unclassified)	22,570	18,095	78,384	0	3,257	0	0	0
Genesee	3114. Fruit and Vegetable Preserving and Specialty Food Manufacturing	7,802	4,755	275	41	149	66	33	0
Genesee	3115. Dairy Product Manufacturing	180,938	78,171	8,180	161,167	1,006	5,019	0	0
Genesee	3121. Beverage Manufacturing	1,986	2,010	80	12	43	154	0	0
Genesee	3152. Cut and Sew Apparel Manufacturing	8	9	22	0	12	0	0	0
Genesee	3162. Footwear Manufacturing	24,053	70,999	1,016	152	826	0	0	0
Genesee	3219. Other Wood Product Manufacturing	552	1,519	219	197	119	0	0	0
Genesee	3221. Pulp, Paper, and Paperboard Mills	534,764	9,800	0	0	0	0	0	0
Genesee	3231. Printing and Related Support Activities	638	1,230	36	5	19	9	0	0
Genesee	3252. Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing	48,107	23,666	508	2,277	413	0	0	0
Genesee	3261. Plastics Product Manufacturing	1,906	5,163	66	10	360	0	145	0
Genesee	3272. Glass and Glass Product Manufacturing	6,548	3,153	364	54	198	0	0	0
Genesee	3315. Foundries	4,381	527	0	182	661	0	0	0
Genesee	3321. Forging and Stamping	268	255	37	1	20	0	0	0
Genesee	3323. Architectural and Structural Metals Manufacturing	536	510	75	1	40	0	0	0
Genesee	3324. Boiler, Tank, and Shipping Container Manufacturing	60,315	30,507	829	209	1,214	0	0	0
Genesee	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	2,681	2,548	373	6	202	0	0	0
Genesee	3328. Coating, Engraving, Heat Treating, and Allied Activities	804	764	112	2	61	0	0	0
Genesee	3329. Other Fabricated Metal Product Manufacturing	536	510	75	1	40	0	0	0
Genesee	3331. Agriculture, Construction, and Mining Machinery Manufacturing	18,872	28,215	1,182	171	1,712	0	0	0
Genesee	3333. Commercial and Service Industry Machinery Manufacturing	294	442	97	2	53	0	0	0
Genesee	3335. Metalworking Machinery Manufacturing	4,476	5,909	787	12	509	0	0	0
Genesee	3336. Engine, Turbine, and Power Transmission Equipment Manufacturing	3,301	4,140	399	6	298	0	0	0
Genesee	3339. Other General Purpose Machinery Manufacturing	9,142	13,665	494	84	803	0	0	0
Genesee	3353. Electrical Equipment Manufacturing	783	1,257	36	5	20	0	0	0
Genesee	3371. Household and Institutional Furniture and Kitchen Cabinet Manufacturing	93	112	26	70	14	0	0	0
Genesee	3372. Office Furniture (including Fixtures) Manufacturing	47	56	13	35	7	0	0	0
Genesee	3391. Medical Equipment and Supplies Manufacturing	291	350	13	14	7	3	0	0
Genesee	3399. Other Miscellaneous Manufacturing	581	700	27	28	15	6	0	0
Livingston	1111. Oilseed and Grain Farming	0	13,019	34,656	12,235	15,671	9,657	0	0
Livingston	1112. Vegetable and Melon Farming	0	3,902	5,009	1,768	2,265	1,396	0	0
Livingston	1113. Fruit and Tree Nut Farming	0	3,363	3,504	1,237	1,584	976	0	0
Livingston	1114. Greenhouse, Nursery, and Floriculture Production	0	7,977	12,430	4,388	5,621	3,464	0	0
Livingston	1119. Other Crop Farming	0	8,100	12,049	4,254	5,449	3,358	0	0
Livingston	1121. Cattle Ranching and Farming	0	28,255	38,030	13,426	17,197	10,597	0	0
Livingston	1122. Hog and Pig Farming	0	438	502	177	227	140	0	0
Livingston	1123. Poultry and Egg Production	0	2,744	1,864	658	843	519	0	0
Livingston	1124. Sheep and Goat Farming	0	610	580	205	262	162	0	0
Livingston	1129. Other Animal Production	0	7,673	6,228	2,199	2,816	1,736	0	0
Livingston	2123. Nonmetallic Mineral Mining and Quarrying	1,618	4,230	6,184	3,463	0	1,376	2,039	0
Livingston	2131. Support Activities for Mining	4,274	510	3,651	1,475	0	900	0	0
Livingston	2369. Building Construction (unclassified)	4,666	9,942	17,237	0	638	0	0	0
Livingston	2378. Heavy and Civil Engineering Construction (unclassified)	2,932	7,398	49,468	0	7,710	0	0	0
Livingston	2388. Specialty Trade Contractors (unclassified)	17,092	13,703	59,359	0	2,467	0	0	0
Livingston	3114. Fruit and Vegetable Preserving and Specialty Food Manufacturing	3,901	2,378	137	21	75	33	17	0
Livingston	3115. Dairy Product Manufacturing	4,479	2,696	1,246	2,980	68	300	0	0
Livingston	3116. Animal Slaughtering and Processing	8,606	7,890	1,842	1,404	100	443	448	0
Livingston	3121. Beverage Manufacturing	1,986	2,010	80	12	43	154	0	0
Livingston	3211. Sawmills and Wood Preservation	3,643	3,759	1,448	866	79	35	18	0
Livingston	3219. Other Wood Product Manufacturing	1,656	4,556	658	590	357	0	0	0
Livingston	3231. Printing and Related Support Activities	7,110	11,283	130	19	102	3	0	0
Livingston	3251. Basic Chemical Manufacturing	49,610	10,847	466	696	379	0	0	0
Livingston	3261. Plastics Product Manufacturing	635	1,721	22	3	120	0	48	0
Livingston	3262. Rubber Product Manufacturing	635	1,721	22	3	120	0	48	0
Livingston	3323. Architectural and Structural Metals Manufacturing	13,128	12,395	330	50	496	0	0	0
Livingston	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	804	764	112	2	61	0	0	0
Livingston	3331. Agriculture, Construction, and Mining Machinery Manufacturing	294	442	97	2	53	0	0	0
Livingston	3332. Industrial Machinery Manufacturing	294	442	97	2	53	0	0	0
Livingston	3333. Commercial and Service Industry Machinery Manufacturing	882	1,327	291	5	158	0	0	0
Livingston	3335. Metalworking Machinery Manufacturing	9,142	13,665	494	84	803	0	0	0
Livingston	3339. Other General Purpose Machinery Manufacturing	4,182	5,467	690	11	456	0	0	0
Livingston	3353. Electrical Equipment Manufacturing	783	1,257	36	5	20	0	0	0
Livingston	3359. Other Electrical Equipment and Component Manufacturing	783	1,257	36	5	20	0	0	0
Livingston	3371. Household and Institutional Furniture and Kitchen Cabinet Manufacturing	93	112	26	70	14	0	0	0
Livingston	3372. Office Furniture (including Fixtures) Manufacturing	47	56	13	35	7	0	0	0
Livingston	3399. Other Miscellaneous Manufacturing	145	175	7	7	4	2	0	0
Monroe	1111. Oilseed and Grain Farming	0	8,513	22,659	7,999	10,246	6,314	0	0
Monroe	1112. Vegetable and Melon Farming	0	10,115	12,987	4,585	5,873	3,619	0	0
Monroe	1113. Fruit and Tree Nut Farming	0	4,891	5,096	1,799	2,305	1,420	0	0
Monroe	1114. Greenhouse, Nursery, and Floriculture Production	0	18,855	29,380	10,372	13,286	8,187	0	0
Monroe	1119. Other Crop Farming	0	4,072	6,057	2,138	2,739	1,688	0	0
Monroe	1121. Cattle Ranching and Farming	0	7,550	10,289	3,632	4,653	2,867	0	0
Monroe	1122. Hog and Pig Farming	0	0	0	0	0	0	0	0
Monroe	1123. Poultry and Egg Production	0	686	466	165	211	130	0	0
Monroe	1124. Sheep and Goat Farming	0	534	507	179	229	141	0	0
Monroe	1129. Other Animal Production	0	7,540	6,120	2,161	2,767	1,705	0	0
Monroe	2123. Nonmetallic Mineral Mining and Quarrying	11,174	33,189	33,882	18,980	0	11,525	34,659	0
Monroe	2369. Building Construction (unclassified)	44,416	94,632	164,074	0	6,070	0	0	0
Monroe	2378. Heavy and Civil Engineering Construction (unclassified)	11,727	29,594	197,873	0	30,839	0	0	0
Monroe	2388. Specialty Trade Contractors (unclassified)	221,534	177,616	769,385	0	31,970	0	0	0
Monroe	3114. Fruit and Vegetable Preserving and Specialty Food Manufacturing	296,831	119,359	1,666	2,247	1,975	804	4,491	0
Monroe	3115. Dairy Product Manufacturing	47,248	28,250	2,149	55,662	350	4,653	0	0
Monroe	3116. Animal Slaughtering and Processing	30,120	27,614	6,446	4,913	350	1,551	1,567	0
Monroe	3121. Beverage Manufacturing	298,857	236,441	3,835	8,435	792	98,778	0	0
Monroe	3132. Fabric Mills	6,749	6,166	70	1	38	17	0	0
Monroe	3133. Textile and Fabric Finishing and Fabric Coating Mills	20,247	18,497	209	3	113	50	0	0
Monroe	3141. Textile Furnishings Mills	1,631	533	2,075	29	70	0	8	0
Monroe	3149. Other Textile Product Mills	96,226	31,246	26,079	2,958	2,160	0	1,743	0
Monroe	3152. Cut and Sew Apparel Manufacturing	3,227	2,186	1,132	0	1,418	0	0	0
Monroe	3159. Apparel Accessories and Other Apparel Manufacturing	8	9	22	0	12	0	0	0
Monroe	3169. Other Leather and Allied Product Manufacturing	1,920	6,934	267	40	145	64	0	0
Monroe	3219. Other Wood Product Manufacturing	9,383	25,819	3,729	3,344	2,023	0	0	0
Monroe	3221. Pulp, Paper, and Paperboard Mills	436,570	117,148	1,117	151,958	909	0	162,933	0
Monroe	3231. Printing and Related Support Activities	105,788	163,348	1,497	1,180	1,466	924	0	0
Monroe	3241. Petroleum and Coal Products Manufacturing	14,583	2,508	11,592	87	314	139	0	0
Monroe	3251. Basic Chemical Manufacturing	270,287	99,700	2,639	23,153	2,778	0	0	0
Monroe	3252. Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing	54,709	27,640	737	3,306	538	55	0	0
Monroe	3254. Pharmaceutical and Medicine Manufacturing	56,846	23,898	6,162	718	592	0	0	0
Monroe	3259. Other Chemical Product and Preparation Manufacturing	300,832	286,460	23,228	1,255,037	10,478	56,664	0	0
Monroe	3261. Plastics Product Manufacturing	389,164	840,926	3,676	8,254	31,645	0	102,550	0
Monroe	3271. Clay Product and Refractory Manufacturing	15,647	3,767	871	130	472	0	0	0
Monroe	3272. Glass and Glass Product Manufacturing	68,656	36,856	3,287	1,355	2,547	0	2,149	0
Monroe	3311. Iron and Steel Mills and Ferroalloy Manufacturing	230,487	145,041	1,457	104,548	791	0	1,771	4,298
Monroe	3313. Alumina and Aluminum Production and Processing	15,060	12,087	1,397	209	758	336	0	0
Monroe	3315. Foundries	2,191	264	0	91	331	0	0	0
Monroe	3321. Forging and Stamping	35,902	32,610	1,249	110	1,401	0	0	0
Monroe	3322. Cutlery and Handtool Manufacturing	2,413	2,293	336	5	182	0	0	0
Monroe	3323. Architectural and Structural Metals Manufacturing	39,120	35,668	1,696	117	1,643	0	0	0
Monroe	3324. Boiler, Tank, and Shipping Container Manufacturing	12,860	12,141	292	50	476	0	0	0
Monroe	3325. Hardware Manufacturing	64,736	34,035	1,068	212	1,388	0	0	0
Monroe	3326. Spring and Wire Product Manufacturing	1,072	1,019	149	2	81	0	0	0
Monroe	3327. Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	140,006	123,886	7,101	338	6,016	0	0	0
Monroe	3328. Coating, Engraving, Heat Treating, and Allied Activities	5,899	5,606	821	13	445	0	0	0
Monroe	3329. Other Fabricated Metal Product Manufacturing	58,409	52,570	2,130	169	2,285	0	0	0
Monroe	3331. Agriculture, Construction, and Mining Machinery Manufacturing	882	1,327	291	5	158	0	0	0
Monroe	3332. Industrial Machinery Manufacturing	64,219	75,317	4,052	505	4,798	0	0	0
Monroe	3333. Commercial and Service Industry Machinery Manufacturing	708,055	76,969	4,338	297	4,287	0	0	0
Monroe	3335. Metalworking Machinery Manufacturing	90,957	94,690	8,353	632	7,053	0	0	0
Monroe	3336. Engine, Turbine, and Power Transmission Equipment Manufacturing	588	884	194	3	105	0	0	0
Monroe	3339. Other General Purpose Machinery Manufacturing	24,107	32,879	2,671	118	2,311	0	0	0
Monroe	3344. Semiconductor and Other Electronic Component Manufacturing	93,425	195,568	1,300	1,687	1,807	2,268	0	0
Monroe	3351. Electric Lighting Equipment Manufacturing	7,277	10,006	153	23	105	0	0	4
Monroe	3353. Electrical Equipment Manufacturing	15,709	25,089	271	172	244	0	0	5
Monroe	3359. Other Electrical Equipment and Component Manufacturing	17,275	27,603	344	183	283	0	0	6
Monroe	3371. Household and Institutional Furniture and Kitchen Cabinet Manufacturing	747	900	208	559	113	0	0	0
Monroe	3372. Office Furniture (including Fixtures) Manufacturing	234	281	65	175	35	0	0	0
Monroe	3379. Other Furniture Related Product Manufacturing	93	112	26	70	14	0	0	0
Monroe	3391. Medical Equipment and Supplies Manufacturing	90,950	80,090	1,131	16,312	400	3,095	0	0
Monroe	3399. Other Miscellaneous Manufacturing	13,129	14,196	373	390	230	65	0	0
Ontario	1111. Oilseed and Grain Farming	0	17,276	45,985	16,234	20,794	12,814	0	0
Ontario	1112. Vegetable and Melon Farming	0	9,826	12,616	4,454	5,705	3,515	0	0
Ontario	1113. Fruit and Tree Nut Farming	0	6,878	7,167	2,530	3,241	1,997	0	0
Ontario	1114. Greenhouse, Nursery, and Floriculture Production	0	10,153	15,820	5,585	7,154	4,408	0	0
Ontario	1119. Other Crop Farming	0	8,713	12,961	4,576	5,861	3,612	0	0
Ontario	1121. Cattle Ranching and Farming	0	54,944	73,453	25,931	33,215	20,468	0	0
Ontario	1122. Hog and Pig Farming	0	256	293	103	132	82	0	0
Ontario	1123. Poultry and Egg Production	0	2,744	1,864	658	843	519	0	0
Ontario	1124. Sheep and Goat Farming	0	559	532	188	240	148	0	0
Ontario	1129. Other Animal Production	0	7,540	6,120	2,161	2,767	1,705	0	0
Ontario	2123. Nonmetallic Mineral Mining and Quarrying	5,422	15,171	18,519	10,372	0	5,118	11,978	0
Ontario	2369. Building Construction (unclassified)	8,900	18,963	32,879	0	1,216	0	0	0
Ontario	2378. Heavy and Civil Engineering Construction (unclassified)	3,157	7,968	53,274	0	8,303	0	0	0
Ontario	2388. Specialty Trade Contractors (unclassified)	44,920	36,015	156,008	0	6,483	0	0	0
Ontario	3112. Grain and Oilseed Milling	457,831	232,065	6,704	0	21,818	12,903	0	0
Ontario	3114. Fruit and Vegetable Preserving and Specialty Food Manufacturing	58,879	35,682	569	517	628	703	891	0
Ontario	3116. Animal Slaughtering and Processing	4,303	3,945	921	702	50	222	224	0
Ontario	3121. Beverage Manufacturing	51,577	51,938	809	486	708	5,380	0	0
Ontario	3149. Other Textile Product Mills	1,631	533	2,075	29	70	0	8	0
Ontario	3162. Footwear Manufacturing	960	3,467	134	20	72	32	0	0
Ontario	3219. Other Wood Product Manufacturing	3,312	9,113	1,316	1,180	714	0	0	0
Ontario	3231. Printing and Related Support Activities	1,021	1,967	57	8	31	14	0	0
Ontario	3241. Petroleum and Coal Products Manufacturing	89,048	12,669	24,179	181	931	46	0	0
Ontario	3259. Other Chemical Product and Preparation Manufacturing	3,171	3,817	882	2,637	478	212	0	0
Ontario	3261. Plastics Product Manufacturing	211,853	451,091	1,899	4,923	4,335	0	33,110	0
Ontario	3262. Rubber Product Manufacturing	635	1,721	22	3	120	0	48	0
